,Max,AvgMax,Average,AvgMin,Min
2024-08-19,61.0187265917603,56.46508847231813,53.80853954007096,50.92586033926744,46.12031386224935
2024-08-20,60.93383270911361,56.41073352612671,53.79414030407737,50.95254028093655,46.13000096871065
2024-08-21,60.84893882646691,56.356378579935296,53.779741068083766,50.979220222605676,46.13968807517195
2024-08-22,60.764044943820224,56.30202363374388,53.765341832090165,51.00590016427479,46.149375181633246
2024-08-23,60.679151061173535,56.24766868755246,53.750942596096564,51.032580105943914,46.159062288094546
2024-08-24,60.59425717852684,56.193313741361045,53.736543360102964,51.05926004761303,46.168749394555846
2024-08-25,60.50936329588015,56.13895879516963,53.72214412410936,51.085939989282146,46.178436501017146
2024-08-26,60.42446941323346,56.084603848978205,53.70774488811576,51.11261993095127,46.188123607478445
2024-08-27,60.339575530586764,56.03024890278679,53.69334565212216,51.139299872620384,46.197810713939745
2024-08-28,60.254681647940075,55.97589395659537,53.67894641612857,51.16597981428951,46.207497820401045
2024-08-29,60.169787765293385,55.921539010403954,53.66454718013497,51.19265975595862,46.217184926862345
2024-08-30,60.08489388264669,55.86718406421254,53.65014794414137,51.219339697627746,46.226872033323644
2024-08-31,60.0,55.81282911802112,53.635748708147766,51.24601963929686,46.236559139784944
2024-09-01,60.0,55.81282911802112,53.635748708147766,51.24601963929686,46.236559139784944
2024-09-02,59.971850809289236,55.75998223287731,53.60915493386523,51.24826182676633,46.206167143821
2024-09-03,59.943701618578466,55.70713534773351,53.582561159582696,51.250504014235794,46.17577514785706
2024-09-04,59.9155524278677,55.654288462589705,53.55596738530016,51.252746201705264,46.145383151893114
2024-09-05,59.88740323715693,55.601441577445904,53.529373611017625,51.25498838917473,46.114991155929175
2024-09-06,59.85925404644617,55.548594692302096,53.50277983673509,51.2572305766442,46.08459915996523
2024-09-07,59.8311048557354,55.49574780715829,53.476186062452555,51.25947276411367,46.054207164001284
2024-09-08,59.80295566502463,55.44290092201449,53.44959228817002,51.26171495158313,46.023815168037345
2024-09-09,59.77480647431386,55.39005403687068,53.422998513887485,51.2639571390526,45.9934231720734
2024-09-10,59.7466572836031,55.33720715172688,53.39640473960495,51.26619932652206,45.96303117610946
2024-09-11,59.71850809289233,55.28436026658307,53.369810965322415,51.26844151399153,45.932639180145515
2024-09-12,59.690358902181565,55.23151338143927,53.34321719103988,51.270683701460996,45.902247184181576
2024-09-13,59.662209711470794,55.17866649629546,53.316623416757345,51.272925888930466,45.87185518821763
2024-09-14,59.63406052076003,55.125819611151655,53.290029642474806,51.275168076399936,45.841463192253684
2024-09-15,59.60591133004926,55.072972726007855,53.263435868192275,51.2774102638694,45.811071196289745
2024-09-16,59.577762139338496,55.02012584086405,53.236842093909736,51.27965245133887,45.7806792003258
2024-09-17,59.549612948627725,54.967278955720246,53.210248319627205,51.28189463880833,45.75028720436186
2024-09-18,59.52146375791696,54.91443207057644,53.183654545344666,51.2841368262778,45.719895208397915
2024-09-19,59.49331456720619,54.86158518543263,53.157060771062135,51.28637901374727,45.68950321243397
2024-09-20,59.46516537649543,54.80873830028883,53.130466996779596,51.288621201216735,45.65911121647003
2024-09-21,59.43701618578466,54.75589141514502,53.103873222497064,51.290863388686205,45.628719220506085
2024-09-22,59.40886699507389,54.70304453000122,53.077279448214526,51.29310557615567,45.598327224542146
2024-09-23,59.38071780436312,54.650197644857414,53.050685673931994,51.29534776362514,45.5679352285782
2024-09-24,59.35256861365236,54.59735075971361,53.024091899649456,51.2975899510946,45.53754323261426
2024-09-25,59.32441942294159,54.544503874569806,52.997498125366924,51.29983213856407,45.507151236650316
2024-09-26,59.296270232230825,54.491656989426,52.970904351084386,51.30207432603354,45.47675924068637
2024-09-27,59.268121041520054,54.4388101042822,52.944310576801854,51.304316513503004,45.44636724472243
2024-09-28,59.23997185080929,54.38596321913839,52.917716802519315,51.306558700972474,45.415975248758485
